Фраза,Показы,Пиллар,Интент,Тип,Сид,Asset,Статус,Приоритет,ЦелевойURL,Причина
кем можно стать после 11 класса девушке,93,C,info,top,b03_kem_mozhno_stat,main,Расширить существующую,P0,/professiya/,«Кем можно стать» = список профессий → каталог
на кого сейчас пойти учиться,93,B,info,top,b04_na_kogo_pojti_uchitsya,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,ВЧ-инфо → хаб выбора + каталоги + /test/
куда можно поступить после девятого класса девушке,93,C,info,top,c08_kuda_postupat_devushke,main,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
новокузнецк куда поступить девушке 9 класса,93,C,info,top,c08_kuda_postupat_devushke,main,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
куда можно поступить с географией и химией,93,C,info,top,c16_s_geografiej,main,Создана посадочная,P3,/kuda-postupat-s-geografiej/,Перечень Минобрнауки → направления (готово)
расшифровка теста климова,93,D,info,top,d08_test_klimova,main,Создать статью в хабе,P1,/testy-na-proforientaciyu/test-klimova/,Именованная методика Климова
методика ддо дифференциально диагностический опросник климова,93,D,info,top,d09_ddo_klimova,main,Создать статью в хабе,P1,/testy-na-proforientaciyu/test-klimova/,ДДО Климова (та же методика)
какую айти профессию выбрать,92,B,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
какую выбрать профессию дома,92,B,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
куда поступить на повара после 11 класса,92,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
куда поступить после 11 класса на переводчика,92,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
куда поступать девушке после 11 военного,92,C,info,top,c08_kuda_postupat_devushke,main,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
куда поступить с общагой и историей,92,C,info,top,c11_s_istoriej,main,Создана посадочная,P3,/kuda-postupat-s-istoriej/,Перечень Минобрнауки → направления (готово)
куда можно поступить с биологией и историей,92,C,info,top,c11_s_istoriej,main,Создана посадочная,P3,/kuda-postupat-s-istoriej/,Перечень Минобрнауки → направления (готово)
тесты климова и голланда,92,D,info,top,d07_test_gollanda,main,Создать статью в хабе,P1,/testy-na-proforientaciyu/test-gollanda/,Именованная методика (RIASEC — рабочее название)
центр профориентации молодежи серпухов,92,0,commercial,top,p07_centr_proforientacii,main,Расширить (раздел хаба),P1,/proforientaciya/,«Центр профориентации» → хаб/онлайн
республиканский центр социальной адаптации и профориентации,92,0,commercial,top,p07_centr_proforientacii,main,Расширить (раздел хаба),P1,/proforientaciya/,«Центр профориентации» → хаб/онлайн
республиканский центр социальной трудовой адаптации профориентации,92,0,commercial,top,p07_centr_proforientacii,main,Расширить (раздел хаба),P1,/proforientaciya/,«Центр профориентации» → хаб/онлайн
тест на профориентацию после 11 бесплатно,91,D,commercial,top,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
ддо климова тест онлайн,91,D,commercial,top,d08_test_klimova,main,Создать статью в хабе,P1,/testy-na-proforientaciyu/test-klimova/,Именованная методика Климова
самые высокооплачиваемые профессии в спб,91,E,info,top,e03_vysokooplachivaemye,aggregator,Создать новую посадочную (рейтинг),P0,/professii-vysokooplachivaemye/,Рейтинг по зарплатам Росстата окт-2025 — данные есть
какие сейчас самые высокооплачиваемые профессии,91,E,info,top,e03_vysokooplachivaemye,main,Создать новую посадочную (рейтинг),P0,/professii-vysokooplachivaemye/,Рейтинг по зарплатам Росстата окт-2025 — данные есть
самые высокооплачиваемые работы профессии,91,E,info,top,e03_vysokooplachivaemye,main,Создать новую посадочную (рейтинг),P0,/professii-vysokooplachivaemye/,Рейтинг по зарплатам Росстата окт-2025 — данные есть
какую профессию программиста выбрать,90,B,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
как выбрать профессию школьнику,90,B,info,top,b02_kak_vybrat_professiyu,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб → /test/
направление подготовки и специальность в чем отличие,90,D,info,assoc,d06_test_na_vybor_professii,main,Использовать существующую,P1,/test/,Прямой интент квиза
самые высокооплачиваемые профессии в америке,90,E,info,top,e03_vysokooplachivaemye,main,Создать новую посадочную (рейтинг),P0,/professii-vysokooplachivaemye/,Рейтинг по зарплатам Росстата окт-2025 — данные есть
пройти тест профориентации 9 класс,90,D,commercial,top,p05_prof_9_klass,main,Расширить (раздел хаба),P1,/proforientaciya/,"Профориентация 9 класс (контент, не листинг СПО)"
пройти профориентацию после 9,90,0,commercial,top,p06_projti_proforientaciyu,main,Использовать существующую,P1,/test/,Транзакционный «пройти» → квиз
центр по профориентации и трудоустройству молодежи,90,0,commercial,top,p07_centr_proforientacii,main,Расширить (раздел хаба),P1,/proforientaciya/,«Центр профориентации» → хаб/онлайн
какие профессии выбирают студенты,89,B,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
профориентация какую профессию выбрать,89,0,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
тест какую профессию выбрать после 9,89,D,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
как выбрать профессию девушке тест,89,D,info,top,b02_kak_vybrat_professiyu,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб → /test/
готика 1 кем можно стать,89,B,info,top,b03_kem_mozhno_stat,main,Расширить существующую,P0,/professiya/,«Кем можно стать» = список профессий → каталог
на кого можно пойти учиться в университете,89,B,info,top,b04_na_kogo_pojti_uchitsya,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,ВЧ-инфо → хаб выбора + каталоги + /test/
куда поступить после 11 класса в костроме,89,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
куда поступить в калининграде девушке,89,C,info,top,c08_kuda_postupat_devushke,aggregator,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
куда можно поступить после 10 класса девушке,89,C,info,top,c08_kuda_postupat_devushke,main,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
самые высокооплачиваемые технические профессии,89,E,info,top,e03_vysokooplachivaemye,main,Создать новую посадочную (рейтинг),P0,/professii-vysokooplachivaemye/,Рейтинг по зарплатам Росстата окт-2025 — данные есть
тест профориентация бесплатно для школьников профессия,89,D,commercial,top,p03_prof_dlya_shkolnikov,main,Расширить (раздел хаба),P1,/proforientaciya/,Срез «для школьников»
бесплатная профориентация для школьников выбор профессии,89,0,commercial,top,p03_prof_dlya_shkolnikov,main,Расширить (раздел хаба),P1,/proforientaciya/,Срез «для школьников»
какую профессию выбрать чтобы работать,88,B,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
какие профессии выбирают мужчины,88,B,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
кем можно стать с математикой,88,B,info,top,b03_kem_mozhno_stat,main,Расширить существующую,P0,/professiya/,«Кем можно стать» = список профессий → каталог
менеджмент кем можно стать,88,B,info,top,b03_kem_mozhno_stat,main,Расширить существующую,P0,/professiya/,«Кем можно стать» = список профессий → каталог
опросник климова по профориентации пройти онлайн,88,D,commercial,top,p04_prof_online,main,Расширить (раздел хаба),P1,/proforientaciya/,«Онлайн» → /test/
кем стать после 9 класса тест,87,D,info,top,c07_kem_stat_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО
куда можно поступить девушке в военное,87,C,info,top,c08_kuda_postupat_devushke,main,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
куда поступить с историей и информатикой,87,C,info,top,c11_s_istoriej,main,Создана посадочная,P3,/kuda-postupat-s-istoriej/,Перечень Минобрнауки → направления (готово)
куда поступить с профматом и географией,87,C,info,top,c16_s_geografiej,main,Создана посадочная,P3,/kuda-postupat-s-geografiej/,Перечень Минобрнауки → направления (готово)
самые высокооплачиваемые профессии в месяц,87,E,info,top,e03_vysokooplachivaemye,main,Создать новую посадочную (рейтинг),P0,/professii-vysokooplachivaemye/,Рейтинг по зарплатам Росстата окт-2025 — данные есть
где пройти профориентацию в москве,87,0,commercial,top,p06_projti_proforientaciyu,aggregator,Использовать существующую,P1,/test/,Транзакционный «пройти» → квиз
кем можно стать и зарабатывать,86,B,info,top,b03_kem_mozhno_stat,main,Расширить существующую,P0,/professiya/,«Кем можно стать» = список профессий → каталог
тест голланда на профориентацию пройти онлайн бесплатно,86,D,commercial,top,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
тест голланда опросник,86,D,info,top,d07_test_gollanda,main,Создать статью в хабе,P1,/testy-na-proforientaciyu/test-gollanda/,Именованная методика (RIASEC — рабочее название)
как выбрать востребованную профессию,85,E,info,top,b02_kak_vybrat_professiyu,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб → /test/
тест узнать какая профессия мне подходит,85,D,info,top,b05_kakaya_professiya_podhodit,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Подбор профессии → /test/
куда поступить учиться после 11 класса девушке,85,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
куда можно поступить с историей 34 балла,85,C,info,top,c11_s_istoriej,main,Создана посадочная,P3,/kuda-postupat-s-istoriej/,Перечень Минобрнауки → направления (готово)
тест на профориентацию госуслуги,85,D,commercial,top,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
голланд холланд тест,85,D,info,top,d07_test_gollanda,main,Создать статью в хабе,P1,/testy-na-proforientaciyu/test-gollanda/,Именованная методика (RIASEC — рабочее название)
самые высокооплачиваемые профессии в айти,85,E,info,top,e03_vysokooplachivaemye,main,Создать новую посадочную (рейтинг),P0,/professii-vysokooplachivaemye/,Рейтинг по зарплатам Росстата окт-2025 — данные есть
центр профориентации метрополитена,85,0,commercial,top,p07_centr_proforientacii,main,Расширить (раздел хаба),P1,/proforientaciya/,«Центр профориентации» → хаб/онлайн
серпухов центр профориентации и трудоустройства,85,0,commercial,top,p07_centr_proforientacii,main,Расширить (раздел хаба),P1,/proforientaciya/,«Центр профориентации» → хаб/онлайн
профориентация программа для детей,84,0,info,top,a04_prof_dlya_rebenka,main,Расширить (раздел хаба),P1,/roditelyam/,Профессии для ребёнка (контент)
какую профессию выбрать после 9 класса тест,84,D,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
кем можно стать в полиции,84,B,info,top,b03_kem_mozhno_stat,main,Расширить существующую,P0,/professiya/,«Кем можно стать» = список профессий → каталог
кем можно стать в будущем девушке,84,B,info,top,b03_kem_mozhno_stat,main,Расширить существующую,P0,/professiya/,«Кем можно стать» = список профессий → каталог
сестринское дело кем можно стать,84,B,info,top,b03_kem_mozhno_stat,main,Расширить существующую,P0,/professiya/,«Кем можно стать» = список профессий → каталог
на кого можно пойти учиться в 2026,84,B,info,top,b04_na_kogo_pojti_uchitsya,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,ВЧ-инфо → хаб выбора + каталоги + /test/
куда пойти поступать после 11 класса,84,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
куда поступить после 9 класса иваново девушке,84,C,info,top,c08_kuda_postupat_devushke,aggregator,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
тест профориентации профессии пройти,84,D,commercial,top,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
самые высокооплачиваемые профессии в медицине в россии,84,E,info,top,e03_vysokooplachivaemye,main,Создать новую посадочную (рейтинг),P0,/professii-vysokooplachivaemye/,Рейтинг по зарплатам Росстата окт-2025 — данные есть
профориентация для младших школьников,84,0,info,top,p03_prof_dlya_shkolnikov,main,Расширить (раздел хаба),P1,/proforientaciya/,Срез «для школьников»
готика 1 ремейк кем можно стать,83,B,info,top,b03_kem_mozhno_stat,main,Расширить существующую,P0,/professiya/,«Кем можно стать» = список профессий → каталог
куда поступать после 11 класса работы,83,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
мвд куда поступить девушке,83,C,info,top,c08_kuda_postupat_devushke,main,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
тест на профориентацию после 9 класса девушке,83,D,info,top,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
профессиональный тест на профориентацию,83,D,info,top,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
расшифровка теста на профориентацию,83,D,info,top,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
самые высокооплачиваемые профессии в симс 4,83,E,info,top,e03_vysokooplachivaemye,main,Создать новую посадочную (рейтинг),P0,/professii-vysokooplachivaemye/,Рейтинг по зарплатам Росстата окт-2025 — данные есть
профориентация после 9 класса девушке,83,0,info,top,p05_prof_9_klass,main,Расширить (раздел хаба),P1,/proforientaciya/,"Профориентация 9 класс (контент, не листинг СПО)"
центр занятости населения профориентация,83,0,commercial,top,p07_centr_proforientacii,main,Расширить (раздел хаба),P1,/proforientaciya/,«Центр профориентации» → хаб/онлайн
кем можно стать с юридическим образованием,82,B,info,top,b03_kem_mozhno_stat,main,Расширить существующую,P0,/professiya/,«Кем можно стать» = список профессий → каталог
ульяновск куда девушке поступить,82,C,info,top,c08_kuda_postupat_devushke,aggregator,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
профориентация для подростков тесты онлайн,82,D,commercial,top,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
тестирование мчат пройти,82,D,commercial,assoc,d05_test_na_professiyu,main,Расширить (раздел хаба),P1,/testy-na-proforientaciyu/,«Тест на профессию» → хаб → /test/
какая профессия в медицине самая высокооплачиваемая,82,E,info,top,e03_vysokooplachivaemye,main,Создать новую посадочную (рейтинг),P0,/professii-vysokooplachivaemye/,Рейтинг по зарплатам Росстата окт-2025 — данные есть
кем можно стать мальчику,81,B,info,top,b03_kem_mozhno_stat,main,Расширить существующую,P0,/professiya/,«Кем можно стать» = список профессий → каталог
какая профессия мне подходит для женщин,81,B,info,top,b05_kakaya_professiya_podhodit,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Подбор профессии → /test/
куда лучше поступать после 11 класса мальчику,81,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
самые высокооплачиваемые профессии связанные с химией,81,E,info,top,e03_vysokooplachivaemye,main,Создать новую посадочную (рейтинг),P0,/professii-vysokooplachivaemye/,Рейтинг по зарплатам Росстата окт-2025 — данные есть
тест профориентации пройти онлайн с расшифровкой,81,D,commercial,top,p04_prof_online,main,Расширить (раздел хаба),P1,/proforientaciya/,«Онлайн» → /test/
климов как выбирать профессию,80,D,info,top,b02_kak_vybrat_professiyu,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб → /test/
куда поступать на экономиста после 11 класса,80,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
хим био куда поступать после 11 класса,80,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
куда поступить после 11 класса в севастополе,80,C,info,top,c02_kuda_postupat_posle_11,aggregator,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
куда поступить после 9 класса казань парням,80,C,info,top,c09_kuda_postupat_parnyu,aggregator,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#parnyu,Гендер-срез после 11
профориентация для школьников обучение,80,0,info,top,p03_prof_dlya_shkolnikov,main,Расширить (раздел хаба),P1,/proforientaciya/,Срез «для школьников»
профессии и специальности как выбрать,79,B,info,top,b02_kak_vybrat_professiyu,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб → /test/
кем можно стать после меда,79,B,info,top,b03_kem_mozhno_stat,main,Расширить существующую,P0,/professiya/,«Кем можно стать» = список профессий → каталог
омск на кого пойти учиться,79,B,info,top,b04_na_kogo_pojti_uchitsya,aggregator,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,ВЧ-инфо → хаб выбора + каталоги + /test/
куда поступить после 11 класса юноше,79,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
самая высокооплачиваемая профессия в рублях,79,E,info,top,e03_vysokooplachivaemye,main,Создать новую посадочную (рейтинг),P0,/professii-vysokooplachivaemye/,Рейтинг по зарплатам Росстата окт-2025 — данные есть
профориентация медицина для школьников,79,0,info,top,p03_prof_dlya_shkolnikov,main,Расширить (раздел хаба),P1,/proforientaciya/,Срез «для школьников»
работа в центре профориентации,79,0,info,top,p07_centr_proforientacii,main,Расширить (раздел хаба),P1,/proforientaciya/,«Центр профориентации» → хаб/онлайн
какую профессию выбирают выпускники,78,B,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
куда поступить после 11 класса в новокузнецке,78,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
тест на профориентацию бесплатно с расшифровкой,78,D,commercial,top,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
профориентация для подростка 14 лет,78,0,info,top,p02_prof_dlya_podrostkov,main,Расширить (раздел хаба),P1,/proforientaciya/,Срез «для подростков»
центр профессиональной профориентации,78,0,commercial,top,p07_centr_proforientacii,main,Расширить (раздел хаба),P1,/proforientaciya/,«Центр профориентации» → хаб/онлайн
какую дата профессию выбрать,77,B,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
какую онлайн профессию выбрать,77,B,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
мвд кем можно стать,77,B,info,top,b03_kem_mozhno_stat,main,Расширить существующую,P0,/professiya/,«Кем можно стать» = список профессий → каталог
куда можно поступить с профилем и историей,77,C,info,top,c11_s_istoriej,main,Создана посадочная,P3,/kuda-postupat-s-istoriej/,Перечень Минобрнауки → направления (готово)
умскул тест на профориентацию,77,D,info,top,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
8 онлайн тестов на профориентацию,77,D,commercial,top,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
фпо тестирование,77,D,info,assoc,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
профориентация 9 11 класс,77,0,info,top,p05_prof_9_klass,main,Расширить (раздел хаба),P1,/proforientaciya/,"Профориентация 9 класс (контент, не листинг СПО)"
какую профессию выбрать бухгалтеру,76,B,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
врачи на кого пойти учиться,76,B,info,top,b04_na_kogo_pojti_uchitsya,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,ВЧ-инфо → хаб выбора + каталоги + /test/
тест куда поступать после 9 класса девушке,76,D,info,top,c08_kuda_postupat_devushke,main,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
куда поступить после 11 девушке москва,76,C,info,top,c08_kuda_postupat_devushke,aggregator,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
куда поступать с историей и иностранным,76,C,info,top,c11_s_istoriej,main,Создана посадочная,P3,/kuda-postupat-s-istoriej/,Перечень Минобрнауки → направления (готово)
тест на профориентацию для школьников 7,76,D,info,top,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
тест на профориентацию для школьников 7 класс,76,D,info,top,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
где пройти тест на профориентацию,76,D,commercial,top,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
где проходят тест на профориентацию,76,D,info,top,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
тест на профориентацию йовайши,76,D,info,top,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
профориентация онлайн для 11 класса,76,0,commercial,top,p04_prof_online,main,Расширить (раздел хаба),P1,/proforientaciya/,«Онлайн» → /test/
московский центр профориентации,76,0,commercial,top,p07_centr_proforientacii,aggregator,Расширить (раздел хаба),P1,/proforientaciya/,«Центр профориентации» → хаб/онлайн
какую профессию выбрать стардью,75,B,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
какую профессию юриста выбрать,75,B,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
на кого можно пойти учиться медсестре,75,B,info,top,b04_na_kogo_pojti_uchitsya,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,ВЧ-инфо → хаб выбора + каталоги + /test/
куда поступить на мчс после 11 класса,75,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
куда поступить после 11 класса во владимире,75,C,info,top,c02_kuda_postupat_posle_11,aggregator,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
тест по модели голланда,75,D,info,top,d07_test_gollanda,main,Создать статью в хабе,P1,/testy-na-proforientaciyu/test-gollanda/,Именованная методика (RIASEC — рабочее название)
какую профессию выбрать школьнику,74,B,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
самые высокооплачиваемые инженерные профессии,74,E,info,top,e03_vysokooplachivaemye,main,Создать новую посадочную (рейтинг),P0,/professii-vysokooplachivaemye/,Рейтинг по зарплатам Росстата окт-2025 — данные есть
профориентация для детей проект,73,0,info,top,a04_prof_dlya_rebenka,main,Расширить (раздел хаба),P1,/roditelyam/,Профессии для ребёнка (контент)
как выбрать профессию по душе девушке,73,B,info,top,b02_kak_vybrat_professiyu,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб → /test/
как выбрать профессию онлайн,73,B,info,top,b02_kak_vybrat_professiyu,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб → /test/
как выбрать профессию девушке 11 класса,73,C,info,top,b02_kak_vybrat_professiyu,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб → /test/
гражданский пилот куда поступать после 11 класса,73,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
куда поступить после 11 класса дистанционно,73,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
куда поступить с географией и проф математикой,73,C,info,top,c16_s_geografiej,main,Создана посадочная,P3,/kuda-postupat-s-geografiej/,Перечень Минобрнауки → направления (готово)
тест голланда профессия,73,D,info,top,d07_test_gollanda,main,Создать статью в хабе,P1,/testy-na-proforientaciyu/test-gollanda/,Именованная методика (RIASEC — рабочее название)
онлайн школа профориентации,73,0,commercial,top,p04_prof_online,main,Расширить (раздел хаба),P1,/proforientaciya/,«Онлайн» → /test/
профориентация 5 9 классы,73,0,info,top,p05_prof_9_klass,main,Расширить (раздел хаба),P1,/proforientaciya/,"Профориентация 9 класс (контент, не листинг СПО)"
какую профессию можно выбрать девочкам,72,B,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
как родители выбирали профессию,72,B,info,top,b02_kak_vybrat_professiyu,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб → /test/
полиция на кого пойти учиться,72,B,info,top,b04_na_kogo_pojti_uchitsya,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,ВЧ-инфо → хаб выбора + каталоги + /test/
полиция куда поступать после 11 класса,72,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
куда лучше поступить после 9 класса парню,72,C,info,top,c09_kuda_postupat_parnyu,main,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#parnyu,Гендер-срез после 11
тест на профориентацию для школьников 11 класс,72,D,info,top,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
